trace_name,split,trace_p_arrival_sample,trace_s_arrival_sample,trace_sampling_rate_hz,trace_channel,trace_npts,station_code,station_latitude_deg,station_longitude_deg,source_magnitude,source_depth_km,source_distance_km,source_latitude_deg,source_longitude_deg,event_name,preprocess_method,preprocess_highpass_hz
SZO0230204112316,train,564,1390,100.0,ZNE,11900,SZO023,34.8738,137.8164,4.2,40.0,63.887,34.935,137.12,0204112316,raw-accel,1.0
SZO0240204112316,train,425,1205,100.0,ZNE,11900,SZO024,34.7102,137.7197,4.2,40.0,60.196,34.935,137.12,0204112316,raw-accel,1.0
AIC0160204112316,train,1468,1971,100.0,ZNE,11900,AIC016,34.7788,136.9087,4.2,40.0,25.957,34.935,137.12,0204112316,raw-accel,1.0
AIC0070204112316,train,1468,2043,100.0,ZNE,11900,AIC007,35.1394,137.3353,4.2,40.0,30.022,34.935,137.12,0204112316,raw-accel,1.0
AIC0090204112316,train,1470,1955,100.0,ZNE,11900,AIC009,35.0812,137.1464,4.2,40.0,16.438,34.935,137.12,0204112316,raw-accel,1.0
AIC0040204112316,train,1434,1896,100.0,ZNE,11900,AIC004,35.0634,136.9736,4.2,40.0,19.542,34.935,137.12,0204112316,raw-accel,1.0
NGN0250204112316,train,455,1418,100.0,ZNE,11900,NGN025,35.2807,137.8567,4.2,40.0,77.278,34.935,137.12,0204112316,raw-accel,1.0
AIC0120204112316,train,1429,1904,100.0,ZNE,11900,AIC012,34.9119,137.0447,4.2,40.0,7.332,34.935,137.12,0204112316,raw-accel,1.0
MIE0070204112316,train,525,1547,100.0,ZNE,11900,MIE007,34.651,136.3404,4.2,40.0,77.901,34.935,137.12,0204112316,raw-accel,1.0
SZO0250204112316,train,1451,2073,100.0,ZNE,11900,SZO025,34.7194,137.5314,4.2,40.0,44.564,34.935,137.12,0204112316,raw-accel,1.0
SZO0220204112316,train,1402,2238,100.0,ZNE,11900,SZO022,35.0916,137.8136,4.2,40.0,65.541,34.935,137.12,0204112316,raw-accel,1.0
AIC0050204112316,train,1377,1959,100.0,ZNE,11900,AIC005,35.1979,137.2056,4.2,40.0,30.262,34.935,137.12,0204112316,raw-accel,1.0
SIG0080204112316,train,374,1332,100.0,ZNE,11900,SIG008,35.0701,136.2946,4.2,40.0,76.687,34.935,137.12,0204112316,raw-accel,1.0
AIC0130204112316,train,801,1445,100.0,ZNE,11900,AIC013,34.9335,137.5761,4.2,40.0,41.59,34.935,137.12,0204112316,raw-accel,1.0
MIE0010204112316,train,502,1313,100.0,ZNE,11900,MIE001,35.1718,136.4943,4.2,40.0,62.765,34.935,137.12,0204112316,raw-accel,1.0
AIC0140204112316,train,1440,1932,100.0,ZNE,11900,AIC014,34.8263,137.22,4.2,40.0,15.147,34.935,137.12,0204112316,raw-accel,1.0
GIF0240204112316,train,661,1400,100.0,ZNE,11900,GIF024,35.3009,137.387,4.2,40.0,47.396,34.935,137.12,0204112316,raw-accel,1.0
