gate,threshold,confirm_chunks,station_n,window_sec,clusters,interval_count,clusters_per_station_day_equiv
none,0.55,1,2,3.0,309,11,24.073796878240564
none,0.55,1,2,5.0,330,11,25.709880161227787
none,0.55,1,3,3.0,107,11,8.336233870458706
none,0.55,1,3,5.0,139,11,10.829313158820188
none,0.55,1,4,3.0,22,11,1.7139920107485191
none,0.55,1,4,5.0,31,11,2.415170560600186
none,0.55,2,2,3.0,3,11,0.23372618328388897
none,0.55,2,2,5.0,4,11,0.3116349110451853
none,0.55,2,3,3.0,0,11,0.0
none,0.55,2,3,5.0,0,11,0.0
none,0.55,2,4,3.0,0,11,0.0
none,0.55,2,4,5.0,0,11,0.0
none,0.55,3,2,3.0,0,3,0.0
none,0.55,3,2,5.0,0,3,0.0
none,0.55,3,3,3.0,0,3,0.0
none,0.55,3,3,5.0,0,3,0.0
none,0.55,3,4,3.0,0,3,0.0
none,0.55,3,4,5.0,0,3,0.0
peak12_width2,0.55,1,2,3.0,309,11,24.073796878240564
peak12_width2,0.55,1,2,5.0,330,11,25.709880161227787
peak12_width2,0.55,1,3,3.0,107,11,8.336233870458706
peak12_width2,0.55,1,3,5.0,139,11,10.829313158820188
peak12_width2,0.55,1,4,3.0,22,11,1.7139920107485191
peak12_width2,0.55,1,4,5.0,31,11,2.415170560600186
peak12_width2,0.55,2,2,3.0,3,11,0.23372618328388897
peak12_width2,0.55,2,2,5.0,4,11,0.3116349110451853
peak12_width2,0.55,2,3,3.0,0,11,0.0
peak12_width2,0.55,2,3,5.0,0,11,0.0
peak12_width2,0.55,2,4,3.0,0,11,0.0
peak12_width2,0.55,2,4,5.0,0,11,0.0
peak12_width2,0.55,3,2,3.0,0,3,0.0
peak12_width2,0.55,3,2,5.0,0,3,0.0
peak12_width2,0.55,3,3,3.0,0,3,0.0
peak12_width2,0.55,3,3,5.0,0,3,0.0
peak12_width2,0.55,3,4,3.0,0,3,0.0
peak12_width2,0.55,3,4,5.0,0,3,0.0
peak12_width8,0.55,1,2,3.0,308,11,23.995888150479267
peak12_width8,0.55,1,2,5.0,329,11,25.63197143346649
peak12_width8,0.55,1,3,3.0,107,11,8.336233870458706
peak12_width8,0.55,1,3,5.0,139,11,10.829313158820188
peak12_width8,0.55,1,4,3.0,21,11,1.6360832829872227
peak12_width8,0.55,1,4,5.0,29,11,2.2593531050775932
peak12_width8,0.55,2,2,3.0,3,11,0.23372618328388897
peak12_width8,0.55,2,2,5.0,4,11,0.3116349110451853
peak12_width8,0.55,2,3,3.0,0,11,0.0
peak12_width8,0.55,2,3,5.0,0,11,0.0
peak12_width8,0.55,2,4,3.0,0,11,0.0
peak12_width8,0.55,2,4,5.0,0,11,0.0
peak12_width8,0.55,3,2,3.0,0,3,0.0
peak12_width8,0.55,3,2,5.0,0,3,0.0
peak12_width8,0.55,3,3,3.0,0,3,0.0
peak12_width8,0.55,3,3,5.0,0,3,0.0
peak12_width8,0.55,3,4,3.0,0,3,0.0
peak12_width8,0.55,3,4,5.0,0,3,0.0
