gate,threshold,confirm_chunks,station_n,window_sec,clusters,interval_count,clusters_per_station_day_equiv
none,0.55,1,2,3.0,92,7,31.745676744278928
none,0.55,1,2,5.0,97,7,33.47098526298974
none,0.55,1,3,3.0,38,7,13.112344742202167
none,0.55,1,3,5.0,51,7,17.598146890850277
none,0.55,1,4,3.0,10,7,3.4506170374216225
none,0.55,1,4,5.0,14,7,4.830863852390272
none,0.55,2,2,3.0,1,7,0.3450617037421623
none,0.55,2,2,5.0,1,7,0.3450617037421623
none,0.55,2,3,3.0,0,7,0.0
none,0.55,2,3,5.0,0,7,0.0
none,0.55,2,4,3.0,0,7,0.0
none,0.55,2,4,5.0,0,7,0.0
none,0.55,3,2,3.0,0,2,0.0
none,0.55,3,2,5.0,0,2,0.0
none,0.55,3,3,3.0,0,2,0.0
none,0.55,3,3,5.0,0,2,0.0
none,0.55,3,4,3.0,0,2,0.0
none,0.55,3,4,5.0,0,2,0.0
peak12_width2,0.55,1,2,3.0,92,7,31.745676744278928
peak12_width2,0.55,1,2,5.0,97,7,33.47098526298974
peak12_width2,0.55,1,3,3.0,38,7,13.112344742202167
peak12_width2,0.55,1,3,5.0,51,7,17.598146890850277
peak12_width2,0.55,1,4,3.0,10,7,3.4506170374216225
peak12_width2,0.55,1,4,5.0,14,7,4.830863852390272
peak12_width2,0.55,2,2,3.0,1,7,0.3450617037421623
peak12_width2,0.55,2,2,5.0,1,7,0.3450617037421623
peak12_width2,0.55,2,3,3.0,0,7,0.0
peak12_width2,0.55,2,3,5.0,0,7,0.0
peak12_width2,0.55,2,4,3.0,0,7,0.0
peak12_width2,0.55,2,4,5.0,0,7,0.0
peak12_width2,0.55,3,2,3.0,0,2,0.0
peak12_width2,0.55,3,2,5.0,0,2,0.0
peak12_width2,0.55,3,3,3.0,0,2,0.0
peak12_width2,0.55,3,3,5.0,0,2,0.0
peak12_width2,0.55,3,4,3.0,0,2,0.0
peak12_width2,0.55,3,4,5.0,0,2,0.0
peak12_width8,0.55,1,2,3.0,91,7,31.400615040536767
peak12_width8,0.55,1,2,5.0,96,7,33.125923559247575
peak12_width8,0.55,1,3,3.0,38,7,13.112344742202167
peak12_width8,0.55,1,3,5.0,51,7,17.598146890850277
peak12_width8,0.55,1,4,3.0,9,7,3.1055553336794604
peak12_width8,0.55,1,4,5.0,12,7,4.140740444905947
peak12_width8,0.55,2,2,3.0,1,7,0.3450617037421623
peak12_width8,0.55,2,2,5.0,1,7,0.3450617037421623
peak12_width8,0.55,2,3,3.0,0,7,0.0
peak12_width8,0.55,2,3,5.0,0,7,0.0
peak12_width8,0.55,2,4,3.0,0,7,0.0
peak12_width8,0.55,2,4,5.0,0,7,0.0
peak12_width8,0.55,3,2,3.0,0,2,0.0
peak12_width8,0.55,3,2,5.0,0,2,0.0
peak12_width8,0.55,3,3,3.0,0,2,0.0
peak12_width8,0.55,3,3,5.0,0,2,0.0
peak12_width8,0.55,3,4,3.0,0,2,0.0
peak12_width8,0.55,3,4,5.0,0,2,0.0
