gate,threshold,confirm_chunks,station_n,window_sec,clusters,interval_count,clusters_per_station_day_equiv
none,0.55,1,2,3.0,217,4,21.836477987421382
none,0.55,1,2,5.0,233,4,23.446540880503143
none,0.55,1,3,3.0,69,4,6.943396226415095
none,0.55,1,3,5.0,88,4,8.855345911949685
none,0.55,1,4,3.0,12,4,1.2075471698113207
none,0.55,1,4,5.0,17,4,1.7106918238993711
none,0.55,2,2,3.0,2,4,0.20125786163522014
none,0.55,2,2,5.0,3,4,0.3018867924528302
none,0.55,2,3,3.0,0,4,0.0
none,0.55,2,3,5.0,0,4,0.0
none,0.55,2,4,3.0,0,4,0.0
none,0.55,2,4,5.0,0,4,0.0
none,0.55,3,2,3.0,0,1,0.0
none,0.55,3,2,5.0,0,1,0.0
none,0.55,3,3,3.0,0,1,0.0
none,0.55,3,3,5.0,0,1,0.0
none,0.55,3,4,3.0,0,1,0.0
none,0.55,3,4,5.0,0,1,0.0
peak12_width2,0.55,1,2,3.0,217,4,21.836477987421382
peak12_width2,0.55,1,2,5.0,233,4,23.446540880503143
peak12_width2,0.55,1,3,3.0,69,4,6.943396226415095
peak12_width2,0.55,1,3,5.0,88,4,8.855345911949685
peak12_width2,0.55,1,4,3.0,12,4,1.2075471698113207
peak12_width2,0.55,1,4,5.0,17,4,1.7106918238993711
peak12_width2,0.55,2,2,3.0,2,4,0.20125786163522014
peak12_width2,0.55,2,2,5.0,3,4,0.3018867924528302
peak12_width2,0.55,2,3,3.0,0,4,0.0
peak12_width2,0.55,2,3,5.0,0,4,0.0
peak12_width2,0.55,2,4,3.0,0,4,0.0
peak12_width2,0.55,2,4,5.0,0,4,0.0
peak12_width2,0.55,3,2,3.0,0,1,0.0
peak12_width2,0.55,3,2,5.0,0,1,0.0
peak12_width2,0.55,3,3,3.0,0,1,0.0
peak12_width2,0.55,3,3,5.0,0,1,0.0
peak12_width2,0.55,3,4,3.0,0,1,0.0
peak12_width2,0.55,3,4,5.0,0,1,0.0
peak12_width8,0.55,1,2,3.0,217,4,21.836477987421382
peak12_width8,0.55,1,2,5.0,233,4,23.446540880503143
peak12_width8,0.55,1,3,3.0,69,4,6.943396226415095
peak12_width8,0.55,1,3,5.0,88,4,8.855345911949685
peak12_width8,0.55,1,4,3.0,12,4,1.2075471698113207
peak12_width8,0.55,1,4,5.0,17,4,1.7106918238993711
peak12_width8,0.55,2,2,3.0,2,4,0.20125786163522014
peak12_width8,0.55,2,2,5.0,3,4,0.3018867924528302
peak12_width8,0.55,2,3,3.0,0,4,0.0
peak12_width8,0.55,2,3,5.0,0,4,0.0
peak12_width8,0.55,2,4,3.0,0,4,0.0
peak12_width8,0.55,2,4,5.0,0,4,0.0
peak12_width8,0.55,3,2,3.0,0,1,0.0
peak12_width8,0.55,3,2,5.0,0,1,0.0
peak12_width8,0.55,3,3,3.0,0,1,0.0
peak12_width8,0.55,3,3,5.0,0,1,0.0
peak12_width8,0.55,3,4,3.0,0,1,0.0
peak12_width8,0.55,3,4,5.0,0,1,0.0
