min_stations,window_sec,n_events,eligible_events,associated_events,association_rate_percent,eligible_association_rate_percent,median_delay_from_first_p_sec,p95_delay_from_first_p_sec
2,1.0,36,36,36,100.0,100.0,1.0,5.5
2,2.0,36,36,36,100.0,100.0,1.0,4.5
2,3.0,36,36,36,100.0,100.0,1.0,3.75
2,5.0,36,36,36,100.0,100.0,1.0,3.625
3,1.0,36,36,34,94.44444444444444,94.44444444444444,2.5,11.5
3,2.0,36,36,35,97.2222222222222,97.2222222222222,2.0,8.649999999999999
3,3.0,36,36,36,100.0,100.0,2.0,7.375
3,5.0,36,36,36,100.0,100.0,2.0,5.875
4,1.0,36,36,29,80.55555555555556,80.55555555555556,4.0,11.3
4,2.0,36,36,32,88.88888888888889,88.88888888888889,2.5,11.0
4,3.0,36,36,34,94.44444444444444,94.44444444444444,2.5,10.349999999999998
4,5.0,36,36,35,97.2222222222222,97.2222222222222,2.5,7.949999999999996
5,1.0,36,36,25,69.44444444444444,69.44444444444444,4.0,11.5
5,2.0,36,36,28,77.77777777777779,77.77777777777779,3.5,11.5
5,3.0,36,36,30,83.33333333333334,83.33333333333334,3.0,11.0
5,5.0,36,36,32,88.88888888888889,88.88888888888889,3.0,9.95
