scenario,threshold,confirm_chunks,segments,stations,boundary_excluded_chunks,boundary_excluded_hours,over_threshold_chunks,over_threshold_rate_percent,injection_chunks_over_threshold,post_injection_2pkt_over_threshold,alarm_episodes,alarm_episodes_per_hour,injection_related_alarm_episodes,stations_with_alarm,station_alarm_rate_percent
clean,0.55,1,608,334,9582,1.330833333333333,29,0.3026508035900647,0,0,26,19.536631183469005,0,22,6.58682634730539
clean,0.55,2,608,334,9582,1.330833333333333,29,0.3026508035900647,0,0,3,2.2542266750156545,0,3,0.8982035928143712
clean,0.55,3,608,334,9582,1.330833333333333,29,0.3026508035900647,0,0,0,0.0,0,0,0.0
impulse_x20,0.55,1,608,334,9582,1.330833333333333,64,0.6679190148194531,38,39,60,45.084533500313086,38,57,17.065868263473057
impulse_x20,0.55,2,608,334,9582,1.330833333333333,64,0.6679190148194531,38,39,4,3.0056355666875394,1,4,1.1976047904191618
impulse_x20,0.55,3,608,334,9582,1.330833333333333,64,0.6679190148194531,38,39,0,0.0,0,0,0.0
impulse_x50,0.55,1,608,334,9582,1.330833333333333,183,1.909830932999374,146,169,158,118.7226048841578,146,128,38.32335329341318
impulse_x50,0.55,2,608,334,9582,1.330833333333333,183,1.909830932999374,146,169,25,18.78522229179712,24,24,7.18562874251497
impulse_x50,0.55,3,608,334,9582,1.330833333333333,183,1.909830932999374,146,169,0,0.0,0,0,0.0
packet_burst_x20,0.55,1,608,334,9582,1.330833333333333,581,6.063452306407848,453,573,459,344.89668127739515,453,298,89.22155688622755
packet_burst_x20,0.55,2,608,334,9582,1.330833333333333,581,6.063452306407848,453,573,122,91.67188478396994,121,110,32.93413173652694
packet_burst_x20,0.55,3,608,334,9582,1.330833333333333,581,6.063452306407848,453,573,0,0.0,0,0,0.0
